mime_type,ext
text/tab-separated-values,tsv
image/jpeg,jpeg
image/gif,gif
application/vnd.openxmlformats-officedocument.wordprocessingml.template,dotx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
application/vnd.ms-excel,xls
application/vnd.sun.xml.writer,sxw
text/plain,txt
application/vnd.oasis.opendocument.spreadsheet,ods
image/png,png
application/msword,doc
application/pdf,pdf
application/json,json
application/vnd.openxmlformats-officedocument.spreadsheetml.template,xltx
application/vnd.ms-powerpoint,ppt
application/rtf,rtf
application/vnd.openxmlformats-officedocument.presentationml.template,potx
text/html,html
application/vnd.oasis.opendocument.text,odt
application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx
application/vnd.openxmlformats-officedocument.presentationml.slideshow,ppsx
text/csv,csv
application/vnd.oasis.opendocument.presentation,odp
text/richtext,rtx
application/zip,zip
image/svg+xml,svg
text/markdown,md
