mime_type,ext,description,human_type,default
application/epub+zip,NA,NA,NA,NA
application/msword,doc,NA,doc,TRUE
application/msword,dot,NA,dot,FALSE
application/pdf,pdf,NA,pdf,TRUE
application/rtf,rtf,NA,rtf,TRUE
application/vnd.google-apps.audio,NA,NA,audio,NA
application/vnd.google-apps.document,NA,Google Docs,document,NA
application/vnd.google-apps.drawing,NA,Google Drawing,drawing,NA
application/vnd.google-apps.drive-sdk,NA,3rd party shortcut,drive-sdk,NA
application/vnd.google-apps.file,NA,Google Drive file,file,NA
application/vnd.google-apps.folder,NA,Google Drive folder,folder,NA
application/vnd.google-apps.form,NA,Google Forms,form,NA
application/vnd.google-apps.fusiontable,NA,Google Fusion Tables,fusiontable,NA
application/vnd.google-apps.map,NA,Google My Maps,map,NA
application/vnd.google-apps.photo,NA,NA,photo,NA
application/vnd.google-apps.presentation,NA,Google Slides,presentation,NA
application/vnd.google-apps.script,NA,Google Apps Scripts,script,NA
application/vnd.google-apps.script+json,NA,NA,script+json,NA
application/vnd.google-apps.script+text/plain,NA,NA,script+text/plain,NA
application/vnd.google-apps.shortcut,NA,Shortcut,shortcut,NA
application/vnd.google-apps.site,NA,Google Sites,site,NA
application/vnd.google-apps.spreadsheet,NA,Google Sheets,spreadsheet,NA
application/vnd.google-apps.unknown,NA,NA,unknown,NA
application/vnd.google-apps.video,NA,NA,video,NA
application/vnd.google.colab,ipynb,Colab notebook,colab,TRUE
application/vnd.ms-excel,xlb,NA,xlb,FALSE
application/vnd.ms-excel,xls,NA,xls,TRUE
application/vnd.ms-excel,xlt,NA,xlt,FALSE
application/vnd.ms-excel.sheet.macroenabled.12,NA,NA,NA,NA
application/vnd.ms-excel.template.macroenabled.12,NA,NA,NA,NA
application/vnd.ms-powerpoint,pps,NA,pps,FALSE
application/vnd.ms-powerpoint,ppt,NA,ppt,TRUE
application/vnd.ms-powerpoint.presentation.macroenabled.12,NA,NA,NA,NA
application/vnd.ms-powerpoint.slideshow.macroenabled.12,NA,NA,NA,NA
application/vnd.ms-powerpoint.template.macroenabled.12,NA,NA,NA,NA
application/vnd.ms-word.document.macroenabled.12,NA,NA,NA,NA
application/vnd.ms-word.template.macroenabled.12,NA,NA,NA,NA
application/vnd.oasis.opendocument.presentation,odp,NA,odp,TRUE
application/vnd.oasis.opendocument.spreadsheet,ods,NA,ods,TRUE
application/vnd.oasis.opendocument.text,odt,NA,odt,TRUE
application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx,NA,pptx,TRUE
application/vnd.openxmlformats-officedocument.presentationml.slideshow,ppsx,NA,ppsx,TRUE
application/vnd.openxmlformats-officedocument.presentationml.template,potx,NA,potx,TRUE
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,NA,xlsx,TRUE
application/vnd.openxmlformats-officedocument.spreadsheetml.template,xltx,NA,xltx,TRUE
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,NA,docx,TRUE
application/vnd.openxmlformats-officedocument.wordprocessingml.template,dotx,NA,dotx,TRUE
application/vnd.sun.xml.writer,sxw,NA,sxw,TRUE
application/x-msmetafile,NA,NA,NA,NA
application/x-vnd.oasis.opendocument.presentation,NA,NA,NA,NA
application/x-vnd.oasis.opendocument.spreadsheet,NA,NA,NA,NA
application/x-vnd.oasis.opendocument.text,NA,NA,NA,NA
application/zip,zip,NA,zip,TRUE
image/bmp,NA,NA,NA,NA
image/gif,gif,NA,gif,TRUE
image/jpeg,jpe,NA,jpe,FALSE
image/jpeg,jpeg,NA,jpeg,TRUE
image/jpeg,jpg,NA,jpg,FALSE
image/jpg,NA,NA,NA,NA
image/pjpeg,NA,NA,NA,NA
image/png,png,NA,png,TRUE
image/svg+xml,svg,NA,svg,TRUE
image/svg+xml,svgz,NA,svgz,FALSE
image/x-bmp,NA,NA,NA,NA
image/x-png,NA,NA,NA,NA
text/csv,csv,NA,csv,TRUE
text/html,htm,NA,htm,FALSE
text/html,html,NA,html,TRUE
text/html,shtml,NA,shtml,FALSE
text/plain,asc,NA,asc,FALSE
text/plain,brf,NA,brf,FALSE
text/plain,pot,NA,pot,FALSE
text/plain,srt,NA,srt,FALSE
text/plain,text,NA,text,FALSE
text/plain,txt,NA,txt,TRUE
text/richtext,rtx,NA,rtx,TRUE
text/rtf,NA,NA,NA,NA
text/tab-separated-values,tsv,NA,tsv,TRUE
