name,desc
appProperties,"A collection of arbitrary key-value pairs which are private to the requesting app.
Entries with null values are cleared in update and copy requests."
capabilities,Capabilities the current user has on this file. Each capability corresponds to a fine-grained action that a user may take.
contentHints,Additional information about the content of the file. These fields are never populated in responses.
createdTime,The time at which the file was created (RFC 3339 date-time).
description,A short description of the file.
explicitlyTrashed,"Whether the file has been explicitly trashed, as opposed to recursively trashed from a parent folder."
fileExtension,The final component of fullFileExtension. This is only available for files with binary content in Drive.
folderColorRgb,"The color for a folder as an RGB hex string. The supported colors are published in the folderColorPalette field of the About resource.
If an unsupported color is specified, the closest color in the palette will be used instead."
fullFileExtension,"The full file extension extracted from the name field. May contain multiple concatenated extensions, such as ""tar.gz"". This is only available for files with binary content in Drive.
This is automatically updated when the name field changes, however it is not cleared if the new name does not contain a valid extension."
hasAugmentedPermissions,Whether any users are granted file access directly on this file. This field is only populated for Team Drive files.
hasThumbnail,"Whether this file has a thumbnail. This does not indicate whether the requesting app has access to the thumbnail. To check access, look for the presence of the thumbnailLink field."
headRevisionId,The ID of the file's head revision. This is currently only available for files with binary content in Drive.
iconLink,"A static, unauthenticated link to the file's icon."
id,The ID of the file.
imageMediaMetadata,"Additional metadata about image media, if available."
isAppAuthorized,Whether the file was created or opened by the requesting app.
kind,"Identifies what kind of resource this is. Value: the fixed string ""drive#file""."
lastModifyingUser,The last user to modify the file.
md5Checksum,The MD5 checksum for the content of the file. This is only applicable to files with binary content in Drive.
mimeType,"The MIME type of the file.
Drive will attempt to automatically detect an appropriate value from uploaded content if no value is provided. The value cannot be changed unless a new revision is uploaded.
If a file is created with a Google Doc MIME type, the uploaded content will be imported if possible. The supported import formats are published in the About resource."
modifiedByMe,Whether the file has been modified by this user.
modifiedByMeTime,The last time the file was modified by the user (RFC 3339 date-time).
modifiedTime,"The last time the file was modified by anyone (RFC 3339 date-time).
Note that setting modifiedTime will also update modifiedByMeTime for the user."
name,"The name of the file. This is not necessarily unique within a folder. Note that for immutable items such as the top level folders of Team Drives, My Drive root folder, and Application Data folder the name is constant."
originalFilename,"The original filename of the uploaded content if available, or else the original value of the name field. This is only available for files with binary content in Drive."
ownedByMe,Whether the user owns the file. Not populated for Team Drive files.
owners,"The owners of the file. Currently, only certain legacy files may have more than one owner. Not populated for Team Drive files."
parents,"The IDs of the parent folders which contain the file.
If not specified as part of a create request, the file will be placed directly in the My Drive folder. Update requests must use the addParents and removeParents parameters to modify the values."
permissions,The full list of permissions for the file. This is only available if the requesting user can share the file. Not populated for Team Drive files.
properties,"A collection of arbitrary key-value pairs which are visible to all apps.
Entries with null values are cleared in update and copy requests."
quotaBytesUsed,The number of storage quota bytes used by the file. This includes the head revision as well as previous revisions with keepForever enabled.
shared,Whether the file has been shared. Not populated for Team Drive files.
sharedWithMeTime,"The time at which the file was shared with the user, if applicable (RFC 3339 date-time)."
sharingUser,"The user who shared the file with the requesting user, if applicable."
size,The size of the file's content in bytes. This is only applicable to files with binary content in Drive.
spaces,"The list of spaces which contain the file. The currently supported values are 'drive', 'appDataFolder' and 'photos'."
starred,Whether the user has starred the file.
teamDriveId,ID of the Team Drive the file resides in.
thumbnailLink,"A short-lived link to the file's thumbnail, if available. Typically lasts on the order of hours. Only populated when the requesting app can access the file's content."
thumbnailVersion,The thumbnail version for use in thumbnail cache invalidation.
trashed,"Whether the file has been trashed, either explicitly or from a trashed parent folder. Only the owner may trash a file, and other users cannot see files in the owner's trash."
trashedTime,The time that the item was trashed (RFC 3339 date-time). Only populated for Team Drive files.
trashingUser,"If the file has been explicitly trashed, the user who trashed it. Only populated for Team Drive files."
version,"A monotonically increasing version number for the file. This reflects every change made to the file on the server, even those not visible to the user."
videoMediaMetadata,Additional metadata about video media. This may not be available immediately upon upload.
viewedByMe,Whether the file has been viewed by this user.
viewedByMeTime,The last time the file was viewed by the user (RFC 3339 date-time).
viewersCanCopyContent,"Whether users with only reader or commenter permission can copy the file's content. This affects copy, download, and print operations."
webContentLink,A link for downloading the content of the file in a browser. This is only available for files with binary content in Drive.
webViewLink,A link for opening the file in a relevant Google editor or viewer in a browser.
writersCanShare,Whether users with only writer permission can modify the file's permissions. Not populated for Team Drive files.
